Date,Name,Year,Letterboxd URI,Rating
2026-06-13,Decision to Leave,2022,https://boxd.it/qp9e,4.5
2026-06-13,Casablanca,1942,https://boxd.it/2aG0,5
2026-06-13,The Great Beauty,2013,https://boxd.it/5ty6,5
2026-06-13,As Tears Go By,1988,https://boxd.it/1ybI,3
2026-06-13,A Tale of Springtime,1990,https://boxd.it/1pZ0,3
2026-07-20,Repo Man,1984,https://boxd.it/1Plg,3
2026-07-20,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,3.5
2026-07-20,Frankenstein,2025,https://boxd.it/Ecsg,2.5
2026-07-20,Cloud,2024,https://boxd.it/LhR0,3.5
2026-07-20,Flow,2024,https://boxd.it/v1Ei,4
2026-07-20,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,4
2026-07-20,The Odyssey,2026,https://boxd.it/QFQU,4
2026-08-02,Manhunter,1986,https://boxd.it/1TOw,4.5
2026-08-02,The Drama,2026,https://boxd.it/OA2w,2.5
